import time: self [us] | cumulative | imported package
import time:      2448 |       2448 |                               openpyxl.drawing.effect
import time:      2248 |       4695 |                             openpyxl.drawing.fill
import time:      4038 |       4038 |                             openpyxl.drawing.line
import time:      7090 |       7090 |                             openpyxl.drawing.geometry
import time:      3075 |      21858 |                           openpyxl.chart.shapes
import time:      3671 |       3671 |                             openpyxl.drawing.text
import time:      5603 |       5603 |                             openpyxl.chart.data_source
import time:      2569 |      11842 |                           openpyxl.chart.text
import time:      4155 |       4155 |                           openpyxl.chart.error_bar
import time:      2566 |      48473 |                         openpyxl.chart.marker
import time:      2405 |      50878 |                       openpyxl.chart._3d
import time:      2857 |       2857 |                       openpyxl.chart.legend
import time:      2204 |       2204 |                       openpyxl.chart.reference
import time:      2257 |       2257 |                           openpyxl.chart.label
import time:      2643 |       2643 |                           openpyxl.chart.trendline
import time:      6204 |      11103 |                         openpyxl.chart.series
import time:      2599 |      13702 |                       openpyxl.chart.series_factory
import time:      3062 |       3062 |                       openpyxl.chart.title
import time:      4104 |      76805 |                     openpyxl.chart._chart
import time:      8353 |       8353 |                     openpyxl.chart.descriptors
import time:      3694 |       3694 |                     openpyxl.chart.axis
import time:      6714 |      95564 |                   openpyxl.chart.area_chart
import time:      4040 |       4040 |                   openpyxl.chart.bar_chart
import time:      8355 |       8355 |                   openpyxl.chart.bubble_chart
import time:      2348 |       2348 |                     openpyxl.chart.updown_bars
import time:      2877 |       5225 |                   openpyxl.chart.line_chart
import time:      2764 |       2764 |                   openpyxl.chart.pie_chart
import time:      2333 |       2333 |                   openpyxl.chart.radar_chart
import time:      6492 |       6492 |                   openpyxl.chart.scatter_chart
import time:      2344 |       2344 |                   openpyxl.chart.stock_chart
import time:      2311 |       2311 |                   openpyxl.chart.surface_chart
import time:      2702 |     132126 |                 openpyxl.chart
import time:        65 |     132191 |               openpyxl.chart._chart
import time:      2078 |       2078 |               openpyxl.drawing.xdr
import time:      6407 |       6407 |                 openpyxl.drawing.properties
import time:      2246 |       8652 |               openpyxl.drawing.connector
import time:      2287 |       2287 |                 openpyxl.drawing.picture
import time:      1948 |       1948 |                 openpyxl.drawing.relation
import time:      3078 |       7313 |               openpyxl.drawing.graphic
import time:      2389 |     223654 |             openpyxl.drawing.spreadsheet_drawing
import time:    111849 |     111849 |             openpyxl.packaging.manifest
import time:      9244 |       9244 |               openpyxl.styles.table
import time:      3997 |      13240 |             openpyxl.styles.stylesheet
import time:      2687 |       2687 |               openpyxl.workbook.external_reference
import time:      3658 |       3658 |                 openpyxl.workbook.function_group
import time:      5592 |       5592 |                 openpyxl.workbook.properties
import time:      2778 |       2778 |                 openpyxl.workbook.protection
import time:      2287 |       2287 |                 openpyxl.workbook.smart_tags
import time:      3104 |       3104 |                 openpyxl.workbook.views
import time:      7622 |       7622 |                 openpyxl.workbook.web
import time:      3721 |      28760 |               openpyxl.packaging.workbook
import time:      3203 |      34649 |             openpyxl.workbook._writer
import time:      2596 |       2596 |             openpyxl.writer.theme
import time:      4581 |     393952 |           openpyxl.writer.excel
