import time: self [us] | cumulative | imported package
import time:      3839 |       3839 |                     numpy._core.records
import time:     13321 |      13321 |                     numpy._core._add_newdocs
import time:      3985 |       3985 |                     numpy._core._add_newdocs_scalars
import time:      9059 |       9059 |                     numpy._core._dtype_ctypes
import time:     11439 |      11439 |                         _ctypes
import time:      3052 |       3052 |                         ctypes._endian
import time:      5885 |      20376 |                       ctypes
import time:      5057 |      25432 |                     numpy._core._internal
import time:     12200 |      12200 |                     numpy._pytesttester
import time:      4286 |     240409 |                   numpy._core
import time:       152 |     240560 |                 numpy._core._multiarray_umath
import time:      6487 |     247047 |               numpy.__config__
import time:      3632 |       3632 |                                 numpy._typing._nbit_base
import time:      3397 |       3397 |                                 numpy._typing._nested_sequence
import time:      6870 |       6870 |                                 numpy._typing._shape
import time:     34039 |      47937 |                               numpy._typing._array_like
import time:     17018 |      17018 |                               numpy._typing._char_codes
import time:     17277 |      17277 |                               numpy._typing._dtype_like
import time:      2970 |       2970 |                               numpy._typing._nbit
import time:      6910 |       6910 |                               numpy._typing._scalars
import time:      3245 |       3245 |                               numpy._typing._ufunc
import time:      3782 |      99136 |                             numpy._typing
import time:      3226 |       3226 |                               numpy.lib._stride_tricks_impl
import time:      4894 |       8120 |                             numpy.lib._twodim_base_impl
import time:      3011 |       3011 |                               numpy.lib._array_utils_impl
import time:      7007 |      10017 |                             numpy.lib.array_utils
import time:      2610 |       2610 |                             numpy.linalg._umath_linalg
import time:     18066 |     137947 |                           numpy.linalg._linalg
import time:      9111 |       9111 |                           numpy.linalg.linalg
import time:      4115 |     151172 |                         numpy.linalg
import time:     12465 |     163637 |                       numpy.matrixlib.defmatrix
import time:      5207 |     168843 |                     numpy.matrixlib
import time:     10416 |      10416 |                       numpy.lib._histograms_impl
import time:      5790 |      16205 |                     numpy.lib._function_base_impl
import time:      2467 |       2467 |                     numpy.lib.stride_tricks
import time:      3883 |     191397 |                   numpy.lib._index_tricks_impl
import time:      7946 |     199343 |                 numpy.lib._arraypad_impl
import time:     10113 |      10113 |                 numpy.lib._arraysetops_impl
import time:      3505 |       3505 |                 numpy.lib._arrayterator_impl
import time:      3512 |       3512 |                 numpy.lib._nanfunctions_impl
import time:      7673 |       7673 |                           _wmi
import time:      4164 |      11836 |                         platform
import time:      2591 |      14427 |                       numpy.lib._utils_impl
import time:      2884 |      17310 |                     numpy.lib._format_impl
import time:      4564 |      21874 |                   numpy.lib.format
import time:      2634 |       2634 |                   numpy.lib._datasource
import time:      2680 |       2680 |                   numpy.lib._iotools
import time:      6495 |      33682 |                 numpy.lib._npyio_impl
import time:      2443 |       2443 |                     numpy.lib._ufunclike_impl
import time:      4181 |       6624 |                   numpy.lib._type_check_impl
import time:      8077 |      14701 |                 numpy.lib._polynomial_impl
import time:      3438 |       3438 |                 numpy.lib._shape_base_impl
import time:      5910 |       5910 |                 numpy.lib._version
import time:      3535 |       3535 |                 numpy.lib.introspect
import time:      3159 |       3159 |                 numpy.lib.mixins
import time:      3011 |       3011 |                 numpy.lib.npyio
import time:      2910 |       2910 |                   numpy.lib._scimath_impl
import time:      9477 |      12387 |                 numpy.lib.scimath
import time:      9664 |     305952 |               numpy.lib
import time:     16425 |      16425 |               numpy._array_api_info
import time:     17654 |     606007 |             numpy
import time:      3656 |     609663 |           openpyxl.compat.numbers
import time:     15812 |      15812 |           openpyxl.compat.strings
import time:      6212 |     631687 |         openpyxl.compat
import time:       116 |     631802 |       openpyxl.compat.numbers
import time:     15167 |      15167 |           lxml
import time:       121 |      15288 |         lxml.etree
import time:      3258 |       3258 |         defusedxml
import time:     14436 |      32981 |       openpyxl.xml
import time:     14462 |      14462 |             openpyxl.worksheet
import time:     17597 |      17597 |                 openpyxl.utils.exceptions
import time:     15320 |      32916 |               openpyxl.utils.cell
import time:     12768 |      12768 |                   openpyxl.formula.tokenizer
import time:      5936 |      18704 |                 openpyxl.formula
import time:      9369 |      28072 |               openpyxl.utils.formulas
import time:     13832 |      74820 |             openpyxl.utils
import time:     11459 |      11459 |                         openpyxl.utils.datetime
import time:      2624 |       2624 |                         openpyxl.descriptors.namespace
import time:      5556 |      19638 |                       openpyxl.descriptors.base
import time:      5014 |       5014 |                               xml
import time:     14976 |      19990 |                             xml.etree
import time:      4105 |       4105 |                             xml.etree.ElementPath
import time:      4946 |       4946 |                               pyexpat
import time:      3232 |       8177 |                             _elementtree
import time:     13043 |      45314 |                           xml.etree.ElementTree
import time:      2689 |       2689 |                               et_xmlfile.incremental_tree
import time:      3573 |       6262 |                             et_xmlfile.xmlfile
import time:      4588 |      10849 |                           et_xmlfile
import time:     10523 |      10523 |                           openpyxl.xml.constants
import time:     45452 |     112137 |                         openpyxl.xml.functions
import time:      4314 |       4314 |                         openpyxl.utils.indexed_list
import time:      3630 |     120080 |                       openpyxl.descriptors.sequence
import time:     12512 |     152229 |                     openpyxl.descriptors
import time:     10517 |      10517 |                     openpyxl.descriptors.serialisable
import time:      7972 |     170717 |                   openpyxl.styles.alignment
import time:      7389 |       7389 |                     openpyxl.styles.colors
import time:      5386 |      12774 |                   openpyxl.styles.borders
import time:      3528 |       3528 |                   openpyxl.styles.fills
import time:      4238 |       4238 |                     openpyxl.descriptors.nested
import time:      3365 |       7602 |                   openpyxl.styles.fonts
import time:      4524 |       4524 |                   openpyxl.styles.numbers
import time:      2703 |       2703 |                   openpyxl.styles.protection
import time:      4844 |       4844 |                     openpyxl.descriptors.excel
import time:       263 |        263 |                       array
import time:      5356 |       5619 |                     openpyxl.styles.cell_style
import time:      3661 |      14123 |                   openpyxl.styles.named_styles
import time:     10485 |     226454 |                 openpyxl.styles
import time:      2362 |       2362 |                   openpyxl.styles.proxy
import time:     25685 |      25685 |                   openpyxl.styles.builtins
import time:      2758 |      30804 |                 openpyxl.styles.styleable
import time:      2389 |       2389 |                 openpyxl.worksheet.hyperlink
import time:      2732 |       2732 |                 openpyxl.worksheet.formula
import time:      9742 |       9742 |                   openpyxl.cell.text
